"gw","total_xP","actual_points","captain","squad_value","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","player11"
16,98.6,121,"Martin Ãdegaard",994,"Martin Ãdegaard","Mohamed Salah","Marcus Tavernier","Harry Kane","Kieran Trippier","Gabriel dos Santos MagalhÃ£es","Miguel AlmirÃ³n Rejala","Rodrigo Bentancur","Danny Ward","William Saliba","Darwin NÃºÃ±ez Ribeiro"
17,133.7,137,"Marcus Rashford",991,"Marcus Rashford","Solly March","Tim Ream","Martin Ãdegaard","Joelinton CÃ¡ssio ApolinÃ¡rio de Lira","Kieran Trippier","Rodrigo Hernandez","Erling Haaland","Virgil van Dijk","Harry Kane","Robert SÃ¡nchez"
18,105.9,98,"Martin Ãdegaard",990,"Martin Ãdegaard","Marcus Rashford","Gabriel Martinelli Silva","Kieran Trippier","Mohamed Salah","Douglas Luiz Soares de Paulo","Ivan Toney","Tim Ream","Erling Haaland","Luke Shaw","David De Gea Quintana"
19,112.8,118,"Tim Ream",999,"Tim Ream","Willian Borges da Silva","Harry Kane","Bernd Leno","Martin Ãdegaard","Luke Shaw","Solly March","Marcus Rashford","Gabriel Martinelli Silva","Kai Havertz","Kieran Trippier"
20,134.5,115,"Erling Haaland",994,"Erling Haaland","Harry Kane","Bruno Borges Fernandes","Marcus Rashford","Luke Shaw","Michael Olise","Rodrigo Hernandez","Solly March","Kieran Trippier","Ederson Santana de Moraes","Dan Burn"
21,94.1,95,"Erling Haaland",999,"Erling Haaland","Martin Ãdegaard","Solly March","Kieran Trippier","Harry Kane","Riyad Mahrez","Bukayo Saka","Eddie Nketiah","Nick Pope","Dan Burn","Luke Shaw"
22,115.9,111,"Bruno Borges Fernandes",919,"Bruno Borges Fernandes","Marcus Rashford","Kaoru Mitoma","Brennan Johnson","Wilfried Gnonto","Erling Haaland","Solly March","Ben Mee","Kepa Arrizabalaga","Pervis EstupiÃ±Ã¡n","Kieran Trippier"
23,124.5,98,"Erling Haaland",947,"Erling Haaland","Bukayo Saka","Riyad Mahrez","Eddie Nketiah","Rodrigo Hernandez","Jarrod Bowen","Kaoru Mitoma","David Raya Martin","Pervis EstupiÃ±Ã¡n","Ben Mee","Tim Ream"
24,91.6,106,"Marcus Rashford",998,"Marcus Rashford","Ollie Watkins","Bernd Leno","Bruno Borges Fernandes","James Tarkowski","Tim Ream","Bukayo Saka","Mohamed Salah","Bryan Mbeumo","Pervis EstupiÃ±Ã¡n","Issa Diop"
25,121.3,110,"Bukayo Saka",999,"Bukayo Saka","Mohamed Salah","Alisson Ramses Becker","Trent Alexander-Arnold","Martin Ãdegaard","Oleksandr Zinchenko","Ollie Watkins","James Tarkowski","Seamus Coleman","RÃºben da Silva Neves","Alex Iwobi"
